"PVWatts: Hourly PV Performance Data"
"Requested Location:","accra, ghana"
"Location:","ACCRA/KOTOKA INTL, GHANA"
"Lat (deg N):","5.6"
"Long (deg W):","0.17"
"Elev (m):","69"
"DC System Size (kW):","1.7"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","16.1"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"12","10","6","45","43","24.2","0.3","59.547","24.097","83.405","73.156"
"12","10","7","292","140","25.6","0.7","288.785","33.593","391.855","374.456"
"12","10","8","461","209","26.9","1","537.11","42.756","711.89","684.871"
"12","10","9","562","249","28.2","1.8","737.766","47.836","959.621","923.618"
"12","10","10","440","341","29.6","2.5","783.464","49.061","1014.617","976.439"
"12","10","11","570","388","30.9","3.3","985.391","53.162","1248.74","1200.556"
"12","10","12","509","383","30.9","3.6","916.341","51.528","1171.492","1126.742"
"12","10","13","491","304","30.9","4","782.809","47.992","1019.277","980.911"
"12","10","14","452","296","30.9","4.3","680.833","45.294","896.998","863.393"
"12","10","15","304","199","29.6","4.7","403.245","37.778","547.438","525.642"
"12","10","16","191","121","28.2","5","208.518","31.83","284.581","269.904"
"12","10","17","17","26","26.9","5.4","30.044","26.701","42.011","32.563"
"12","10","18","0","0","26.9","4.3","0","26.9","0","0"
"12","10","19","0","0","26.9","3.3","0","26.9","0","0"
"12","10","20","0","0","26.9","2.2","0","26.9","0","0"
"12","10","21","0","0","26.2","1.5","0","26.2","0","0"
"12","10","22","0","0","25.6","0.7","0","25.6","0","0"
"12","10","23","0","0","24.9","0","0","24.9","0","0"
"12","11","0","0","0","25.6","0","0","25.6","0","0"
"12","11","1","0","0","26.2","0","0","26.2","0","0"
"12","11","2","0","0","26.9","0","0","26.9","0","0"
"12","11","3","0","0","25.6","0","0","25.6","0","0"
"12","11","4","0","0","24.2","0","0","24.2","0","0"
"12","11","5","0","0","22.9","0","0","22.9","0","0"
"12","11","6","18","42","24.2","0","48.635","23.461","69.969","59.984"
"12","11","7","207","123","25.6","0","230.398","33.161","314.387","298.979"
"12","11","8","105","180","26.9","0","255.931","36.99","351.062","334.728"
"12","11","9","453","291","28.2","1.8","691.004","45.807","908.683","874.637"
"12","11","10","562","332","29.6","3.6","887.807","49.086","1149.534","1105.736"
"12","11","11","694","258","30.9","5.4","975.557","49.231","1262.591","1213.777"
"12","11","12","627","283","30.6","5","930.538","49.026","1205.613","1159.362"
"12","11","13","425","359","30.2","4.7","771.703","46.09","1014.96","976.768"
"12","11","14","422","281","29.9","4.3","634.816","43.35","844.837","813.164"
"12","11","15","239","263","29.2","4.3","425.852","38.137","578.797","556.051"
"12","11","16","221","113","28.6","4.3","217.259","32.816","293.998","279.092"
"12","11","17","7","27","27.9","4.3","27.748","27.71","39.391","29.992"
"12","11","18","0","0","27.6","3.6","0","27.6","0","0"
"12","11","19","0","0","27.2","2.9","0","27.2","0","0"
"12","11","20","0","0","26.9","2.1","0","26.9","0","0"
"12","11","21","0","0","26.6","1.4","0","26.6","0","0"
"12","11","22","0","0","26.2","0.7","0","26.2","0","0"
"12","11","23","0","0","25.9","0","0","25.9","0","0"
"12","12","0","0","0","25.2","0","0","25.2","0","0"
"12","12","1","0","0","24.6","0","0","24.6","0","0"
